amplitudeEnvelope,RMSE,ZCR,spectralCentroid,spectralBandwidth,spectralRolloff,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,intelligence
0.0047885077,0.0030748171,0.16694772,0.43353808,0.63409925,0.6650602,0.18825951,0.38964555,0.468917,0.47842395,0.47020397,0.6613994,0.32833296,0.4828867,0.7976284,0.5021042,0.7827816,0.5108535,0.6400795,0.79261273,0.5692712,0.5484958,0.9041212,0.88846064,0.61437833,0.50628084,1
0.0041164365,0.00478909,0.3372681,0.4194594,0.6302871,0.6433735,0.2431811,0.42298105,0.4568401,0.4890556,0.4663872,0.6699433,0.25960818,0.5168637,0.7957115,0.48615074,0.7667905,0.4130143,0.6043163,0.7581918,0.62574404,0.65283084,0.8639484,0.7707077,0.6185127,0.6371961,1
0.0041164365,0.004645821,0.26812816,0.33567554,0.61063623,0.5927711,0.20753272,0.46641067,0.5044569,0.47511163,0.51421964,0.616048,0.24254248,0.46352196,0.80808806,0.4290945,0.752137,0.3759866,0.49931353,0.6979898,0.56691223,0.66102153,0.7906506,0.6620937,0.5730503,0.7960562,1
0.002226236,0.0038520135,0.23946036,0.31357697,0.6066121,0.5686747,0.16616023,0.47677723,0.5514994,0.4907854,0.6083444,0.61820877,0.22473761,0.43726957,0.88050914,0.47323856,0.7244062,0.35941383,0.46541536,0.76055783,0.59103733,0.6402961,0.78973866,0.7133149,0.6498216,0.7273585,1
0.0031503339,0.002491999,0.2900506,0.3805804,0.7012092,0.6578313,0.14492464,0.45205238,0.5237389,0.4645619,0.645005,0.6608018,0.2637144,0.4492635,0.8730611,0.5081726,0.77180547,0.52227247,0.61420834,0.81530684,0.62726104,0.68979675,0.8607212,0.74434805,0.620645,0.68623364,1
0.102238834,0.0026550635,0.3693086,0.48610613,0.8400673,0.8048193,0.31362298,0.2631652,0.55246073,0.4498669,0.5287481,0.75734544,0.43596303,0.5945071,0.84246695,0.47670755,0.70430255,0.6189079,0.5520136,0.86002374,0.47191444,0.7029503,0.53967834,0.7456008,0.5444763,0.7009768,1
0.282942,0.055718485,0.60033727,0.78636336,0.7090159,0.94216865,0.625961,0.07796873,0.5189758,0.4097217,0.3774325,0.7476302,0.5359123,0.6559197,0.8514144,0.51544666,0.6358762,0.67507654,0.44071516,0.7900487,0.5998948,0.7107948,0.42974842,0.5684081,0.6006474,0.78784764,1
0.7134456,0.106714524,0.6357504,0.79240304,0.67395616,0.9108434,0.8296982,0.3256463,0.694634,0.48995993,0.39275593,0.7646116,0.55632603,0.52580523,0.64945567,0.36245006,0.6209522,0.74093145,0.3364599,0.61774504,0.4674265,0.5854764,0.47131798,0.46712142,0.3260233,0.45817345,1
0.7134456,0.37931386,0.2698145,0.1454437,0.39697945,0.25301206,0.89768827,0.59389555,0.57929,0.45303217,0.37225664,0.6918893,0.61952984,0.45341083,0.43186456,0.30266377,0.66049176,0.758964,0.30022988,0.5411248,0.45667306,0.5590171,0.46342784,0.4325375,0.29012382,0.24005203,1
0.63241905,0.5126941,0.03372681,0.12658134,0.26852408,0.25060242,0.85152876,0.72890776,0.39117953,0.54741365,0.4138896,0.5659511,0.6899272,0.38088244,0.2488154,0.29855067,0.6490528,0.6562714,0.32654873,0.4513552,0.3840093,0.69223434,0.36700013,0.38544232,0.35271862,0.1656539,1
